,chittagong_bangla_speech,chittagong_banglish_speech,bangla_speech,english_speech,given_label,surrogate_top1,surrogate_top1_prob,surrogate_top2,surrogate_top2_prob,vote_count,loss,entropy,flagged_by_CL,flagged_by_loss,flagged_by_entropy,flagged_by_knn,review_action
99,তোয়ার ভাই ফন্নাফরনত বহুত মেধাবি ,toyar vai fonnaforonot bohut medhabi,তোমার ভাই পড়ালেখাতে অনেক মেধাবি ,Your brother is very talented in studies,admiration,admiration,0.079,anger,0.066,2,2.544,3.083,False,False,True,True,
101,আর আম্মু আগর তুলনায় এহন বহুত ভালো আসে দে,ar ammu agor tulonay ehon bohut valo ase de,আমার আম্মু আগের তুলনায় এখন অনেক ভালো আছেন,My mom is much better now than before,approval,love,0.072,admiration,0.069,2,2.771,3.086,False,False,True,True,
106,আঁর গারির রং হালা,ar garir rong hala,আমার গাড়ির রঙ হলো লাল,My car color is red,neutral,love,0.072,neutral,0.07,2,2.661,3.081,False,False,True,True,
111,আর বউয়াত্তুন ৮ বছরর ছোড,ar bouyattun ৮ bochoror chodo,আমার স্ত্রী আমার থেকে বয়সে ৮ বছরের ছোট,My wife is 8 years younger than me,realization,neutral,0.063,sadness,0.062,3,2.969,3.107,False,True,True,True,
120,আই আরি গিয়ি,ai ari giyi,আমরা হেরে গেছি,We lost,sadness,neutral,0.071,sadness,0.068,3,2.691,3.1,True,False,True,True,
132,আহারে তোঁয়ার মন অত হত দুক্ক,ahare toyar mon oto hoto dukko,আহারে তোমার মনে কতো দুঃখ,"Oh, how sad you are",sadness,sadness,0.069,confusion,0.067,2,2.675,3.083,False,False,True,True,
135,গতহাল লাতিয়া আরে হই দিয়ে আই নাকি বেইমান,gotohal latiya are hoi diye ai naki beiman,গতকাল রাতে আমাকে বলে দিলো আমি নাকি বেইমান,Last night he told me that I was dishonest,disappointment,disappointment,0.088,neutral,0.07,2,2.426,3.086,False,False,True,True,
151,চোকর ফানি মুচি দিয়্যুম তোঁয়ারে আসি,chokor fani muci diyum toyare asi,চোখের কান্না মুছে  দেব তোমায় হাসি,I will wipe your tears with a smile,joy,caring,0.068,neutral,0.063,4,2.807,3.086,True,True,True,True,
152,আই ক্লাসর বেয়াক ফোয়ারিত মিশ্তাম,ai classor beyak foyarit mishtam,আমি ক্লাসের সব ছেলেদের  সাথেই মিশতাম,I got along with all the boys in the class,neutral,neutral,0.085,approval,0.055,2,2.469,3.095,False,False,True,True,
153,যতদিন মনত ছায় বাফোর বাড়িততাইক্কুম বাবার সেবা গইজ্জুম,jotodin monot chay bafor barittaikkum babar seba goijjum,যতদিন ইচ্ছা বাবার বাসায় থাকবো বাবার সেবা যত্ন করব,"As long as I want to stay in my father's house, I will take care of my father's service",caring,neutral,0.08,approval,0.068,3,3.091,3.076,True,True,False,True,
159,আঁর মার রাঁদা বউত মযা,ar mar rada bout moja,আমার মায়ের রান্না অনেক মজার,My mother's cooking is very interesting,excitement,amusement,0.117,neutral,0.073,2,3.043,3.029,True,True,False,False,
166,আর ৭ বছরর বেয়াক্কিসু শেষ,ar ৭ bochoror beyakkisu shesh,আমার ৭ বছরের সব কিছু শেষ,All my 7 years are over,neutral,neutral,0.075,sadness,0.072,2,2.588,3.087,False,False,True,True,
170,"চুল ফরার সমইস্যা লই ডাক্তরর এডে গেইলাম, যাই এরে দেই ডাক্তর নিজেই টাক","chul forar somoissa loi daktoror ede geilam, jai ere dei daktor nijei tak","চুল পরার সমস্যা  নিয়ে ডাক্তারের কাছে গেছিলাম, গিয়ে দেখি ডাক্তার নিজেই টাক","I went to the doctor with the problem of hair loss, I went and saw that the doctor himself was bald",sadness,caring,0.069,neutral,0.068,4,2.848,3.097,True,True,True,True,
179,অনে নিজে অসুখী অইয়েরে কেনে অন্যরে ভালোবাসিয়েরে খুসি গরিবান,one nije osukhi oiyere kene onnore valobasiyere khusi goriban,আপনি নিজে অসুখী হয়ে কিভাবে অন্যকে ভালোবেসে সুখী করবেন,How to make others happy if you are unhappy yourself,curiosity,caring,0.22,joy,0.107,3,2.941,2.859,True,True,False,True,
181,হনিকাই অনর জিবন অত সুক আনি দিবো বাবি হনিকার লই ফ্রেমত ন জরাইবান,honikai onor jibon oto suk ani dibo babi honikar lai fremot no joraiban,কেউ আপনার জীবনে সুখ এনে দেবে ভেবে কারো সাথে প্রেমে জড়াবেন না,Don't fall in love with someone thinking that they will bring happiness in your life,caring,joy,0.07,disapproval,0.069,4,2.885,3.082,True,True,True,True,
185,এর মাঝোত বত সময় বালো অইয়েরে যাইতো আব্র খারাপ অইয়ে যাইতো,er majhot bot somoy balo oiyere jaito abro kharap oiye jaito,এর মধ্যে অনেক সময় ভালো হয়ে যেত আবার খারাপ হয়ে যেত,Sometimes it gets better and worse,annoyance,joy,0.061,disappointment,0.059,3,2.904,3.099,False,True,True,True,
195,আজিয়া গ্রিব বলি হনিক্কা আরে ভালোনোবাসে,ajiya grib boli honikka are valonobase,আজ গরিব বলে কেউ আমাকে ভালবাসে না,Today nobody loves me because I am poor,sadness,love,0.133,disapproval,0.056,3,3.095,3.043,True,True,False,True,
199,অনে ফুটবল হেলা হারি গেইলেন,one football hela hari geilen,আপনি ফুটবল খেলায় হেরে গেলেন,You lost the football game,sadness,neutral,0.106,sadness,0.064,2,2.744,3.053,True,False,False,True,
200,ফোয়ার মা বাবা বিয়াত রাজি অয়,foyar ma baba biyat raji oy,ছেলের মা বাবা বিয়েতে রাজি হয়,The boy's parents agree to the marriage,approval,neutral,0.085,annoyance,0.07,3,2.991,3.077,True,True,False,True,
208,ইতে ফরের মাসোত বিদেশ যাইবো গয়,ite forer mashot bidesh jaibo goy,সে পরের মাসে বিদেশ চলে যাবে,He will go abroad next month,neutral,neutral,0.063,annoyance,0.06,2,2.766,3.095,False,False,True,True,
219,কুনো এক রাতিয়ার এক হনগে বইয়েরে পাশাপাশি চাঁদ দেক্কুম,kuno el ratiyar ek honge boiyere pashapashi chad dekkum,কোনো এক রাতে তুমি আর আমি পাশাপাশি বসে চাঁদ দেখবো,Some night you and I will sit side by side and watch the sun,caring,neutral,0.072,joy,0.07,4,3.063,3.095,True,True,True,True,
228,ব্রাজিল ফুটবল দল বিশ্ব সেরা,brazil football dol bissho sera,ব্রাজিল ফুটবল দল বিশ্বসেরা,Brazil football team is the best in the world,admiration,neutral,0.095,admiration,0.092,2,2.381,3.055,True,False,False,True,
229,তুই কি তোয়ার ভুল বুঝিত্তাইজ্জ না?,tui ki toyar vul bujhittaijjo na?,তুমি কি তোমার ভুল বুঝতে পেরেছ ?,Did you realize your mistake?,confusion,curiosity,0.184,caring,0.064,3,2.837,2.968,True,True,False,True,
235,আরা বেয়াক্কুন ঢাহাত তাকি,ara beyakkun dhahat taki,আমরা সবাই ঢাকায় থাকি,We all live in Dhaka,neutral,neutral,0.078,disapproval,0.06,2,2.548,3.099,False,False,True,True,
236,তোঁয়ারে রিদয় অত রাইক্কম সারাক্ষণ,toyare ridoyot raikkom sarakkhon,তোমায় হৃদয়ে রাখবো  সারাক্ষণ,I will keep you in my heart forever,caring,neutral,0.07,sadness,0.065,4,2.871,3.096,True,True,True,True,
248,বিলাইর ফ্রিয় হানা দুধ,bilair friyo hana dudh,বিড়ালের প্রিয় খাদ্য দুধ,Cat's favorite food is milk,love,annoyance,0.094,love,0.06,3,2.814,3.075,True,True,False,True,
250,রান্নাঘরোত আই ফাগ গরি্র,rannaghorot ai fag gorir,রান্নাঘরে আমি রান্না করি,I cook in the kitchen,neutral,approval,0.063,admiration,0.06,3,2.87,3.097,False,True,True,True,
256,তারফর আই আবার ভুল গরি বেলাইয়ি,tarofor ai abar vul gori belaiyi,তারপর আমি আবার ভুল করছিলাম,Then I was wrong again,disapproval,optimism,0.069,neutral,0.06,4,3.311,3.101,True,True,True,True,
261,"য়নি মানুষ্কান এইল্লে, বেয়াক্কুন আরে হয় ভাগ্য গরিয়েরে এইল্লে জামাই ফাইয়ি","yoni manushkan eille, beyakkun are hoy vaggo goriyere eille jamai faiyi",উনি মানুষটাই এমন সবাই বলে অনেক ভাগ্য করে নাকি এমন স্বামী পাইছি,"He is such a man, everyone says that he is lucky to have such a husband",admiration,anger,0.067,disappointment,0.06,4,2.957,3.096,True,True,True,True,
266,আই সত্যি খুব অসহায় বোদ গরির,ai sotti khub oshohay bod gorir,আমি সত্যিই খুব অসহায় বোধ করতেছি,I feel really helpless,approval,disappointment,0.089,admiration,0.063,4,2.959,3.085,True,True,True,True,
270,আই হা্র কাছে চাইয়ুম,ai har kache chaiyum,আমি কার কাছে চাইবো?,Who should I ask?,curiosity,desire,0.082,curiosity,0.068,2,2.681,3.093,False,False,True,True,
272,আই কাজোত যাইতো নো চাই,ai kajot jaito no chai,আমি কাজে যেতে চাই না,I don't want to go to work,disapproval,desire,0.183,disapproval,0.099,2,2.311,2.933,True,False,False,True,
276,সব বাধা ফিচ্চে ফেলি এহলা হাসফাতালত আই গিয়ি,sob badha ficce feli ehla hospitalot ai giyi,সব বাধাকে পিছনে ফেলে আমি একাই হাসপাতালে এসেছি,"Leaving all obstacles behind, I came to the hospital alone",neutral,sadness,0.116,desire,0.071,2,2.744,3.051,True,False,False,True,
281,ঠান্ডা শরবত হাইলে গম লাইব দে তোয়ার,thanda shorbot haile gom laibo de toyar,ঠাণ্ডা শরবত খেলে ভালো লাগবে তোমার ,You will like cold syrup,neutral,love,0.065,joy,0.063,3,2.847,3.085,False,True,True,True,
286,আর ভাই ছোড ইবা স্কুলত জাইয়েরে ফন্না ফরিবেল্লাই ন চায় ,ar vai chodo iba schoolot jaiyere fonna foribellai no cay,আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,My younger brother does not like to go to school and study,neutral,disapproval,0.093,anger,0.064,3,2.906,3.063,True,True,False,True,
289,বিদেশ অত গুইরতো যাওয়া আঁর সপ্ন,bidesh ot guirto jaoya ar sopno,বিদেশে ঘুরতে যাওয়া আমার স্বপ্ন,My dream is to travel abroad,desire,neutral,0.095,love,0.064,3,3.027,3.077,True,True,False,True,
300,ধিরে ধিরে আই দূরবল অই যাইলাম তার ফ্রতি,dhire dhire ai durobol oi jailam tar froti,ধিরে ধিরে দুর্বল হয়ে পড়লাম তার প্রতি,Slowly I became weak towards him,anger,neutral,0.074,sadness,0.066,4,3.122,3.098,True,True,True,True,
307,আযার সৃতি বেরাই আচে এ গানর মাযে,ajar sriti berai ace e ganor maje,হাজারো স্মৃতি জড়িয়ে আছে এই গানের মধ্যে,Thousands of memories are involved in this song,admiration,sadness,0.068,neutral,0.064,4,2.818,3.095,True,True,True,True,
308,বেশী শীতো নো আবার বেশী গরমো নো এরিম্মা আবহাওয়া লাউ চাষের লয় বালা,beshi shito no abar beshi goromo no erimma abhaoya lau chasher loy bala,বেশি শীতও না আবার বেশি গরমও না এমন আবহাওয়া লাউ চাষের জন্য উত্তম,A climate that is neither too cold nor too hot is good for growing gourds,admiration,disapproval,0.072,neutral,0.068,4,2.871,3.098,True,True,True,True,
311,"ফোয়া অক্কলর ফোস্ট অইলদি সোমার দোয়ান ওর নান,বর হম মানুষই আইয়্যে","foya okkolor fost oilodi somar doyan or nan,boro hom manushi aiye",ছেলেদের পোস্ট হচ্ছে সোনার দোকান তাই খুব কম লোকই এখানে আসে,Guys post is gold shop so very few people come here,neutral,neutral,0.07,annoyance,0.066,2,2.655,3.091,False,False,True,True,
315,কিছু দিন ইতে বালা তাকে,kichu din ite bala take,কিছু দিন সে ভালো থাকে,Some days he is fine,approval,caring,0.064,annoyance,0.063,3,2.839,3.067,True,True,False,True,
322,মাজে মাজে মন হঅয়তিয়াই তাইক্কেদে ইল্লা গারিত তলে ফরি মরি যাইগোই,maje maje mon hoytiyai taikkede illa garit tole fori mori jaigoi,মাঝে মাঝে মন চায় থেমে থাকা গাড়ির নিচে পরে মরে যাই,Sometimes I want to die under a stopped car,desire,desire,0.076,sadness,0.068,2,2.579,3.096,False,False,True,True,
326,৪ বয়স অইয়ে মাত্র,৪ boyos oiye matro,বয়স সবে চার বছর পূর্ণ হলো,The age has just completed four years,neutral,neutral,0.072,sadness,0.065,2,2.627,3.092,False,False,True,True,
327,আর ডর ভাই ইবা বেগুনর তরহারির ঝোল  দুইজ্জা ভাত হাইয়ে,ar dor vai  iba begunor torharir jhol duijja vat haiye,আমার বড় ভাই বেগুন তরকারির দিয়ে ঝোল দুপুরে ভাত খেয়েছে,My elder brother had eggplant curry broth with rice at noon,sadness,admiration,0.067,curiosity,0.063,2,2.775,3.078,True,False,False,True,
349,তুই কি আরে গুরিবিল্লে লই যাইবা না?,tui ki are guribille loi jaiba na?,তুমি কি আমায় ঘুরতে নিয়ে যাবে? ,will you take me for a walk,caring,curiosity,0.143,caring,0.069,2,2.67,3.024,True,False,False,True,
351,তোয়ারর হাশির হাসে আর বেয়াক্কিসু আর মানে দে,toyaror hashir hase ar beyakkisu ar mane de,তোমার  হাশির কাছে আমার সব কিছু হার মেনে যায়,I lose everything to your smile,sadness,neutral,0.065,sadness,0.065,3,2.738,3.081,True,False,True,True,
360,গতহাল লাতিয়া আরে হই দিয়ে আই নাকি বেইমান,gotohal latiya are hoi diye ai naki beiman,গতকাল রাতে আমাকে বলে দিলো আমি নাকি বেইমান,Last night he told me that I was dishonest,disappointment,disappointment,0.091,neutral,0.06,2,2.4,3.09,False,False,True,True,
377,আই কুব জস মেকআপ গইজ্জি,ai kub jos mekap goijji,আমি খুব  জোস মেকআপ করি,I wear a lot of makeup,approval,disappointment,0.071,sadness,0.059,4,2.994,3.098,True,True,True,True,
387,না গরি দিও ফোয়া পক্ক রে,na gori dio foya pokko re,না করে দিও ছেলে পক্ষকে ,Don't give it to the boy,neutral,disapproval,0.097,confusion,0.06,2,2.885,3.073,False,True,False,True,
399,একজন মাইয়াফোয়ার সংসারত এইল্লে অসান্তি অইত্তারে না?,ekjon maiyafoyar songsarot eille osanti oittare na?,একজন মা মেয়ের সংসারে এইভাবেই কি অশান্তি করতে পারে,How can a mother and daughter cause chaos in this way?,curiosity,confusion,0.067,curiosity,0.061,2,2.795,3.089,False,False,True,True,
404,ইতে বোকা কোন বিষয়ে নো জানে ,ite boka kon bishoye no jane,এই বোকা কোন বিষয়ে জানে না,This fool knows nothing,annoyance,confusion,0.085,fear,0.079,2,3.316,3.053,False,True,False,True,
406,আই এহন তোর ডর ভাইর ফোয়ারিত বিয়া গইত্তাম নো চাইর,ai ehon tor dor vair foyarit biya goittam no chair,আমি এখন তোর ভাইকে বিয়ে করতে চাই না,I don't want to marry your brother now,disapproval,desire,0.214,disapproval,0.09,2,2.403,2.884,True,False,False,True,
426,আর হাসদ্দি আরো সময় চাইতো,ar hasoddi aro somoy chaito,আমার কাছে আরও সময় চাইতো,I wish I had more time,desire,desire,0.082,disappointment,0.061,2,2.496,3.098,False,False,True,True,
427,আর লাই চিন্তা নো গইজ্জ,ar lai chinta no goijjo,আমার জন্য বেশি চিন্তা কোরো না,Don't worry too much about me,caring,disapproval,0.108,confusion,0.079,2,3.13,3.053,False,True,False,True,
428,আর বউয়াত্তুন ৮ বছরর ছোড,ar bouyattun ৮ bochoror chodo,আমার স্ত্রী আমার থেকে বয়সে ৮ বছরের ছোট,My wife is 8 years younger than me,realization,neutral,0.074,sadness,0.063,4,2.943,3.1,True,True,True,True,
432,সাত বচর ফর তোয়াই পায়্যি আঁর ফ্রিয় গানইবা,sat bocor for toyai payie ar friyo ganiba,সাত বছর পর খুজে পেয়েছি আমার প্রিয় গানটা,I found my favorite song after seven years,love,love,0.074,sadness,0.061,2,2.6,3.086,False,False,True,True,
444,তিনি বিদেশেত্তুন আইসসে,tini bideshettun aisse,তিনি বিদেশ থেকে এসেছেন,He came from abroad,neutral,sadness,0.068,desire,0.064,2,2.767,3.091,False,False,True,True,
445,আই বিশ্বাস গরিন্নোফারির আর ভোইন এই হাম্মান গরিবদে,ai bisshas gorinnofarir ar voin ei hamman goribde,আমি বিশ্বাস করতে পারছিলাম না আমার বোন এই কাজ করবে,I couldn't believe my sister would do this,surprise,disapproval,0.1,fear,0.063,2,3.352,3.068,False,True,False,True,
451,কিন্ত আই বাচি থাকিয়েরে মরি গিয়ি,kinto ai baci thakiyere mori giyi,কিন্তু আমি বেঁচে থেকে মরে আছি,But I live and die,sadness,approval,0.066,neutral,0.064,4,2.973,3.102,True,True,True,True,
454,আর আব্বার এরিম্মা হারাপ দে ফুলের টোকাও নো দে,ar abbar erimma harap de fuler tokao no de,আমার আব্বু যে এত খারাপ কখনো ফুলের টোকাও দেয় নাই,My father who is so bad has never touched a flower,disappointment,neutral,0.072,sadness,0.066,4,2.823,3.09,True,True,True,True,
466,তুই কি তোয়ার ভুল বুঝিত্তাইজ্জ না?,tui ki toyar vul bujhittaijjo na?,তুমি কি তোমার ভুল বুঝতে পেরেছ ?,Did you realize your mistake?,confusion,curiosity,0.184,caring,0.064,3,2.837,2.968,True,True,False,True,
467,ফুটবল কেলারসত আঁই আনন্দ ফাই,football kelarosot ai anondo fai,ফুটবল খেলার সময় আমি আনন্দ পাই,I enjoy playing football,joy,neutral,0.078,admiration,0.074,3,2.824,3.074,True,True,False,True,
473,তোয়ার খুব সুন্দর সুন্দর শবি সাইয়েরে আর খুব আনন্দ ফাইয়ি,toyar khub sundor sundor shobi saiyere ar khub anondo faiyi,তোমার  সুন্দর সুন্দর ছবিগুলো দেখে খুব আনন্দ পেয়েছি,I am very happy to see your beautiful pictures,joy,admiration,0.247,joy,0.194,2,1.641,2.666,True,False,False,True,
479,তুই বলদের ডেক্কে ইতেরে লই বই তাহিবি কিল্লাই,tui bolder dekke itere loi boi tahibi killai,তুমি বোকার মতো তাকে নিয়ে ভেবে বসে থাকবে কেন,Why are you thinking about him like a fool?,curiosity,anger,0.085,curiosity,0.07,2,2.658,3.087,False,False,True,True,
482,বউত দুরে যেডে হনোকিয়ায় নেই,bout dure jede honokiyay nei,অনেক দূরে যেখানে কেউ নেই ,Far away where there is no one,neutral,amusement,0.069,sadness,0.067,3,2.964,3.087,False,True,True,True,
483,ইবারতুন বেরা আঁই দেইকতে সুন্দর,ibartun bera ai deikte sundor,তার চেয়ে আমি দেখতে সুন্দর ,I look better than him,approval,admiration,0.138,joy,0.069,3,3.061,3.033,True,True,False,True,
484,আই জতদিন বাসি তাহি অনেরে মনত রাইক্কুম,ai jotodin basi tahi onere monot raikkum,আমি যতদিন বেঁছে থাকি আপনাকে মনে রাখবো,I will remember you as long as I live,neutral,approval,0.083,caring,0.081,2,3.005,3.078,False,True,False,True,
500,বাপ্রে বাপ হত্ত ডর মিসিল,bapre bap hotto dor misil,বাপরে বাপ! কত বড়ো মিছিল,Father father! What a great procession,admiration,sadness,0.067,neutral,0.064,4,2.982,3.095,True,True,True,True,
507,এব্বারে টিক হতা,ebbare tik hota,একদম ঠিক কথা বলেছ ,You are right,approval,approval,0.075,curiosity,0.059,2,2.586,3.091,False,False,True,True,
508,আই বিশ্বাস গরি হনইক্কে যদি আরে নিজের ডইল্লে চায় তাইলে বানাইত্তারিবো,ai bisshas gori honikke jodi are nijer doille chay taile banaittaribo,আমি বিশ্বাস করি কাউকে যদি আমি নিজের মত চাই তাহলে নিজের মত বানিয়ে নিতে হবে,"I believe that if someone wants to be like me, I have to make them like me",desire,caring,0.091,desire,0.072,2,2.638,3.071,True,False,False,True,
510,জামরুল আর ফ্রিও ফল,jamrul ar frio fol,জামরুল আমার প্রিয় ফল ,Jamrul is my favorite fruit,love,admiration,0.073,love,0.071,2,2.647,3.084,True,False,True,False,
512,আই তুয়ারে হানা দিয়ির,ai tuyare hana diyir,আমি তোমাকে খাবার দেই,I give you food,caring,optimism,0.065,approval,0.064,3,2.881,3.102,False,True,True,True,
514,"যতদিন এই দুনিয়াত থাইক্কুম, তোয়ারে মনত রাইক্ষুম","jotodin ei duniyat thaikkum, toyare monot raikkhum","যতদিন এই পৃথিবীতে থাকব , তোমাকে মনে রাখব","As long as I live in this world, I will remember you",approval,neutral,0.081,disapproval,0.076,3,3.099,3.075,True,True,False,True,
529,"আর আব্বু, আম্মু, ভাই, বোন ড্রইংরুমত বই আসি দে","ar abbu, ammu, vai, bon drawing roomot boi asi de","আমার আব্বু , আম্মু , ভাই, বোন ড্রয়িংরুমে বসে আছে","My father, mother, brother, sister are sitting in the drawing room",neutral,sadness,0.076,approval,0.065,2,2.797,3.087,False,False,True,True,
537,আর বন্ধুর মন্নান হারাফ,ar bondhur monnan haraf,আমার বন্ধুর খুব মন খারাপ,My friend is very upset,sadness,disappointment,0.095,admiration,0.068,3,2.813,3.056,True,True,False,True,
555,আই তুয়ার লাই একমত অইতো নো ফারির,ai tuyar lai ekomot oito no farir,আমি তোমার সাথে একমত হতে পারছি না,I cannot agree with you,approval,desire,0.072,disapproval,0.068,4,2.983,3.092,True,True,True,True,
565,আই তারে তার হামরলাই হডা নো দি!,ai tare tar hamorlai hoda no di,আমি তাকে কখনো তার কোনো কাজ নিয়ে খোটা দেই নি,I never scolded him for any of his work,neutral,fear,0.064,confusion,0.058,3,2.995,3.108,False,True,True,True,
568,আম্মু বত সহ্য গরি এতো সংসয়ার গরি গিয়য়,ammu bot sojjo gori eto songsoyar gori giyoy,আম্মু অনেক সহ্য করে এতো বছর সংসার করে গেছেন,Ammu has endured a lot and has lived a family for so many years,sadness,neutral,0.068,approval,0.06,4,2.84,3.091,True,True,True,True,
569,আঁর মার রাঁদা বউত মযা,ar mar rada bout moja,আমার মায়ের রান্না অনেক মজার,My mother's cooking is very interesting,excitement,amusement,0.117,neutral,0.073,2,3.043,3.029,True,True,False,False,
578,গ্রামর বারি জাইয়েরে আই এহলা এহলা সাতার হাইট্টি,gramor bari jaiyere ai ehla ehla satar haitti,গ্রামের বারি গিয়ে আমি একা একা  সাঁতার  কেটেছি,I swam alone after going to the village,sadness,caring,0.076,sadness,0.071,2,2.64,3.081,False,False,True,True,
605,বউদ্দিন বাদে এক্কান বালা লেহা ফইরলাম,bouddin bade ekkan bala leha foirlam,বহুদিন পরে একটা ভালো লেখা পড়লাম,I read a good article after a long time,approval,admiration,0.072,approval,0.06,4,2.812,3.099,True,True,True,True,
608,তুঁই আঁরে দয়া গরি বিরক্ত ন গইরগো,tui are doya gori birokto no goirgo,তুমি আমাকে দয়া করে আর বিরক্ত করো না,Please don't bother me anymore,sadness,annoyance,0.109,disapproval,0.103,3,3.245,2.996,True,True,False,True,
609,আব্বু ফুরাদিন বাহিরোত তাকিতো,abbu furadin bahirot takito,আব্বু সারাদিন বাহিরে বাহিরে থাকত,Abbu used to stay outside all day,neutral,neutral,0.076,anger,0.064,2,2.575,3.087,False,False,True,True,
611,আই বিশ্বাস গরিন্নোফারির আর ভোইন এই হাম্মান গরিবদে,ai bisshas gorinnofarir ar voin ei hamman goribde,আমি বিশ্বাস করতে পারছিলাম না আমার বোন এই কাজ করবে,I couldn't believe my sister would do this,surprise,disapproval,0.1,fear,0.063,2,3.352,3.068,False,True,False,True,
